ProductID,Description
1,Lightweight running shoes for everyday use.
2,Smartwatch with fitness tracking and heart-rate monitor.
3,"Stainless steel water bottle, 1 liter capacity."
4,Noise-cancelling over-ear headphones.
5,Bluetooth speaker with deep bass and 10-hour battery life.
6,Eco-friendly bamboo toothbrush set of 4.
7,Laptop backpack with USB charging port.
8,Ergonomic office chair with lumbar support.
9,LED desk lamp with adjustable brightness.
10,"Non-stick frying pan, 12-inch with lid."
11,Smart LED light bulbs with voice control.
12,"Portable power bank, 20000mAh with fast charging."
13,Insulated lunch bag with dual compartments.
14,Digital kitchen scale with high precision.
15,"Reusable grocery bags, set of 6 with pouches."
16,Gaming mouse with customizable RGB lighting.
17,Waterproof phone case for underwater photography.
18,Foldable yoga mat with carrying strap.
19,Electric kettle with auto shut-off and boil-dry protection.
20,Magnetic phone holder for car dashboard.
